"","pid","W1_Paranoia1","W1_Paranoia2","W1_Paranoia3","W1_Paranoia4","W1_Paranoia5","W1_Paranoia_Total","W1_Conspiracy_1","W1_Conspiracy_2","W1_Conspiracy_3","W1_Conspiracy_4","W1_Conspiracy_5","W1_Conspiracy_Total","W1_Religion_binary","W1_ReligiousBelief_Total","W1_ReligiousBelief1","W1_ReligiousBelief2","W1_ReligiousBelief3","W1_ReligiousBelief4","W1_ReligiousBelief5","W1_ReligiousBelief6","W1_ReligiousBelief7","W1_ReligiousBelief8","W1_ReligiousBelief2_R","W1_ReligiousBelief4_R","W1_ReligiousBelief6_R","W1_ReligiousBelief8_R","W1_Political_Scale","W1_Nationalism1","W1_Nationalism2","W1_Nationalism_Total","W1_Death_Anxiety_Total","W1_DAI1","W1_DAI2","W1_DAI3","W1_DAI4","W1_DAI5","W1_DAI6","W1_DAI7","W1_DAI8","W1_DAI9","W1_DAI10","W1_DAI11","W1_DAI12","W1_DAI13","W1_DAI14","W1_DAI15","W1_DAI16","W1_DAI17","W1_CRT1","W1_CRT2","W1_CRT3","W1_CRT4","W1_CRT5","W1_ReligiousBelief1_R","W1_ReligiousBelief3_R","W1_ReligiousBelief5_R","W1_ReligiousBelief7_R","W1_TotalCRT","W1_Gender","W1_Age_year","W1_Age_categories"
"22",1116847011,1,2,3,2,3,11,4,8,2,2,1,17,0,33,4,2,4,1,4,2,4,2,4,5,4,4,3,2,2,4,39,2,3,2,3,4,2,2,3,1,2,2,2,1,1,3,4,2,1,1,1,2,2,2,2,2,2,5,1,54,4
"24",1125529138,5,1,2,1,4,13,11,11,11,11,11,55,1,18,4,4,2,4,1,4,3,4,2,2,2,2,6,1,2,3,42,4,2,2,2,2,2,2,4,2,2,2,4,4,2,2,2,2,2,2,2,3,3,2,4,5,3,0,2,44,3
"28",1128209960,2,2,2,1,2,9,11,11,2,8,11,43,1,37,5,1,5,1,5,1,5,4,5,5,5,2,6,4,4,8,48,2,2,2,4,4,2,4,5,2,4,1,2,2,3,4,3,2,2,1,1,2,2,1,1,1,1,4,1,53,4
"31",1144647665,1,1,1,1,1,5,10,9,7,6,6,38,0,40,5,1,5,1,5,1,5,1,5,5,5,5,4,1,1,2,24,2,1,2,1,1,1,1,5,1,1,1,1,1,1,1,2,1,2,1,1,2,2,1,1,1,1,4,2,34,2
"32",1148661078,3,3,3,3,3,15,6,6,6,6,6,30,1,25,3,3,3,2,3,3,3,3,3,4,3,3,4,4,5,9,51,3,3,3,3,3,3,3,3,3,3,2,4,3,3,3,3,3,2,1,2,4,2,3,3,3,3,2,2,30,2
"33",1148956532,4,5,5,5,5,24,11,11,8,11,11,52,1,31,3,1,5,1,5,5,3,2,5,5,1,4,7,1,1,2,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,2,2,3,1,1,3,5,1,31,2
"34",1149112329,1,3,3,2,3,12,11,6,3,6,7,33,0,34,3,1,5,3,5,3,5,1,5,3,3,5,6,4,4,8,19,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,3,1,1,1,3,1,52,4
"35",1150960988,1,4,2,1,4,12,11,6,7,4,4,32,0,30,3,2,5,1,3,4,4,2,4,5,2,4,5,3,3,6,24,1,1,2,2,2,1,1,1,1,1,1,1,1,2,4,1,1,2,2,2,4,3,3,1,3,2,0,2,44,3
"36",1154689646,1,5,4,5,5,20,11,8,9,11,9,48,1,18,3,5,1,3,1,1,1,3,1,3,5,3,5,3,5,8,39,5,3,4,1,5,3,1,5,1,1,1,1,1,4,1,1,1,2,4,2,4,3,3,5,5,5,0,1,63,5
"38",1166368019,1,1,1,1,1,5,8,6,6,6,8,34,1,29,3,2,4,2,3,3,3,1,4,4,3,5,5,4,4,8,19,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,3,2,3,3,4,1,34,2
"40",1178936529,4,1,1,1,2,9,11,7,7,8,8,41,1,17,3,5,1,3,1,3,2,3,1,3,3,3,6,4,4,8,44,2,1,3,3,3,3,1,5,1,4,1,4,3,2,3,3,2,2,2,2,4,3,3,5,5,4,0,2,72,6
"41",1181599229,3,3,3,3,3,15,6,6,6,6,6,30,1,24,3,3,3,3,3,3,3,3,3,3,3,3,5,4,4,8,51,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,4,3,3,3,3,3,0,2,46,4
"42",1184564954,3,2,3,2,3,13,7,9,11,7,10,44,0,24,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,6,50,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,2,3,4,3,3,3,3,3,0,1,52,4
"43",1185311152,2,4,4,1,5,16,7,8,6,2,2,25,1,29,3,2,3,1,3,1,3,3,4,5,5,3,6,4,4,8,31,1,2,1,1,1,1,1,5,2,1,1,4,1,1,3,4,1,2,1,2,2,2,3,3,3,3,3,1,37,3
"44",1189036520,1,4,3,2,2,12,2,2,3,2,2,11,1,24,4,5,3,3,2,2,3,2,1,3,4,4,7,4,4,8,57,4,1,1,4,5,1,4,5,5,4,1,5,5,1,5,5,1,2,2,3,2,3,2,3,4,3,1,2,40,3
"45",1191567058,1,3,3,1,2,10,8,9,10,9,9,45,0,31,3,2,5,1,3,3,5,3,4,5,3,3,2,1,1,2,34,4,2,1,4,3,2,3,1,1,3,1,2,1,2,1,2,1,2,2,2,3,3,3,1,3,1,0,2,55,5
"46",1196818793,1,4,4,2,5,16,6,10,7,7,6,36,1,24,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,27,1,1,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,2,1,3,2,3,3,3,3,3,2,2,31,2
"47",1198526853,2,3,3,3,2,13,3,3,3,5,4,18,1,18,2,2,2,4,2,4,2,4,4,2,2,2,8,4,4,8,48,3,3,3,1,3,3,3,4,3,3,3,2,3,3,2,3,3,2,3,2,4,2,4,4,4,4,1,1,50,4
"48",1199726413,1,2,2,1,3,9,10,9,8,9,10,46,1,28,3,3,4,3,4,2,3,2,3,3,4,4,6,3,4,7,60,4,4,4,4,4,4,4,3,4,4,1,5,3,3,4,4,1,2,2,2,4,3,3,2,2,3,0,1,43,3
"49",1204101803,2,2,5,1,4,14,3,3,3,2,2,13,1,36,4,2,5,1,5,3,5,1,4,5,3,5,7,4,4,8,42,4,2,4,2,3,2,2,2,2,2,2,2,2,3,3,3,2,2,4,2,4,2,2,1,1,1,1,1,46,4
"50",1207893979,1,3,3,2,1,10,10,7,7,7,7,38,1,22,2,3,3,1,1,3,2,3,3,5,3,3,5,3,4,7,36,1,1,1,4,5,1,1,3,2,2,1,1,2,1,4,5,1,1,2,1,2,2,4,3,5,4,4,2,57,5
"52",1214828010,2,2,2,2,3,11,11,11,6,6,6,40,1,16,1,4,2,3,1,4,2,3,2,3,2,3,3,4,4,8,38,2,1,2,2,3,1,2,5,3,2,2,2,2,2,2,3,2,1,1,1,4,2,5,4,5,4,4,2,43,3
"54",1218492856,1,3,1,1,3,9,9,6,9,6,6,36,1,25,3,3,3,2,3,3,3,3,3,4,3,3,5,4,4,8,20,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2,2,2,4,3,3,3,3,3,0,2,74,6
"55",1218544360,4,4,2,1,4,15,7,8,7,3,6,31,1,12,1,5,1,3,1,4,1,4,1,3,2,2,10,5,5,10,23,1,2,1,1,1,1,1,3,1,1,3,1,1,1,1,1,2,2,2,2,3,3,5,5,5,5,0,2,67,6
"56",1219267444,3,5,4,4,3,19,6,4,9,8,6,33,1,24,5,5,5,5,5,5,5,5,1,1,1,1,5,4,3,7,56,3,2,4,3,4,4,4,1,5,2,4,3,3,4,4,3,3,2,2,2,4,2,1,1,1,1,1,1,47,4
"58",1219495531,5,4,4,4,4,21,10,9,11,9,10,49,1,30,4,2,4,1,3,3,3,2,4,5,3,4,9,5,5,10,78,4,5,4,4,4,5,4,4,5,5,5,4,5,5,5,5,5,2,2,2,2,2,2,2,3,3,2,2,43,3
"59",1221643651,2,4,3,2,4,15,8,6,8,6,8,36,1,25,3,2,3,2,3,4,3,3,4,4,2,3,6,3,4,7,52,3,2,3,3,5,3,3,5,3,4,3,2,3,2,3,2,3,2,2,2,4,2,3,3,3,3,1,2,58,5
"60",1226221453,3,3,1,1,1,9,4,3,7,6,6,26,1,23,5,5,3,2,2,3,3,4,1,4,3,2,6,3,3,6,36,4,1,3,3,5,1,1,5,3,1,1,3,1,1,1,1,1,1,1,1,4,2,1,3,4,3,4,1,46,4
"61",1233918024,4,1,1,1,3,10,8,10,6,7,7,38,1,31,4,2,4,3,4,2,4,2,4,3,4,4,5,4,4,8,34,1,2,1,2,2,2,2,4,2,2,1,2,2,2,3,2,2,2,1,1,2,2,2,2,2,2,4,2,45,4
"62",1237455223,1,1,4,1,4,11,8,5,7,7,7,34,1,18,1,4,3,2,1,4,1,2,2,4,2,4,4,1,1,2,37,2,2,2,2,2,2,2,3,2,2,4,2,2,2,2,2,2,2,2,2,4,3,5,3,5,5,0,1,62,5
"64",1247632531,3,4,1,1,5,14,6,7,6,8,6,33,1,23,2,4,3,3,3,2,3,3,2,3,4,3,5,4,5,9,40,3,2,3,3,2,2,2,3,2,2,2,2,3,3,2,2,2,2,2,2,2,3,4,3,3,3,1,2,29,2
"65",1247632788,3,3,3,3,3,15,10,10,10,10,10,50,1,24,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,6,36,1,1,4,4,4,3,4,2,2,4,1,1,1,1,1,1,1,2,2,2,4,1,3,3,3,3,0,2,40,3
"66",1249119753,3,3,3,3,3,15,6,6,6,6,6,30,1,24,3,3,3,3,3,3,3,3,3,3,3,3,5,3,4,7,54,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,3,2,1,2,4,3,3,3,3,3,1,1,46,4
"67",1259534633,2,2,1,1,2,8,3,7,4,2,3,19,0,30,3,2,4,2,4,3,4,2,4,4,3,4,4,2,3,5,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,3,3,2,2,2,0,1,69,6
"68",1260325350,1,1,4,1,3,10,9,8,6,6,6,35,1,34,5,1,3,1,5,3,5,3,5,5,3,3,5,4,4,8,26,3,1,2,3,1,1,1,3,1,1,1,1,1,1,3,1,1,2,1,2,4,2,1,3,1,1,2,1,66,6
"69",1260329070,1,1,1,1,4,8,11,10,10,9,10,50,1,19,2,4,3,2,2,4,2,4,2,4,2,2,4,4,3,7,50,4,2,2,4,3,2,4,5,2,4,4,2,2,2,2,2,4,2,2,2,4,3,4,3,4,4,0,2,66,6
"70",1260334210,1,1,1,1,1,5,7,6,5,5,4,27,1,29,4,3,4,2,3,2,4,3,3,4,4,3,6,3,3,6,18,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,4,2,2,2,3,2,2,1,72,6
"71",1260355792,1,1,1,1,1,5,9,10,10,8,10,47,1,18,3,5,3,3,2,4,3,5,1,3,2,1,5,5,5,10,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,2,3,3,4,3,1,1,79,6
"72",1260405219,1,1,1,1,3,7,6,6,6,6,6,30,1,22,2,4,2,3,2,3,3,1,2,3,3,5,9,3,3,6,51,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,2,4,3,4,4,4,3,0,2,62,5
"73",1260439176,1,1,1,1,1,5,7,7,7,7,7,35,1,22,3,4,2,2,2,3,3,3,2,4,3,3,6,3,4,7,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,3,3,4,4,3,0,1,74,6
"74",1260540920,2,3,3,2,3,13,6,6,6,6,6,30,1,24,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,6,44,2,2,2,2,3,3,3,2,3,3,3,2,2,3,3,3,3,1,1,3,3,2,3,3,3,3,3,1,58,5
"75",1260644372,1,1,1,1,1,5,9,9,8,6,6,38,0,39,5,2,5,1,5,1,5,1,4,5,5,5,3,2,3,5,23,1,2,1,1,1,1,1,1,1,4,1,1,1,1,2,1,2,1,1,1,2,2,1,1,1,1,5,1,56,5
"76",1261338333,4,4,4,4,4,20,7,7,7,7,7,35,1,24,2,2,2,2,2,2,2,2,4,4,4,4,5,4,4,8,68,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,4,3,4,4,4,4,1,1,52,4
"77",1261391476,1,1,1,1,1,5,8,7,7,6,6,34,1,25,3,3,3,1,3,4,3,3,3,5,2,3,5,3,3,6,40,3,3,3,4,2,3,2,3,3,3,1,1,1,1,3,3,1,2,3,2,2,2,3,3,3,3,2,1,65,6
"78",1261498584,3,1,1,1,3,9,10,9,7,7,6,39,0,33,3,2,5,2,5,3,5,2,4,4,3,4,7,3,3,6,26,3,1,1,1,3,1,1,3,1,1,1,1,1,1,1,3,2,2,1,1,4,3,3,1,1,1,2,1,63,5
"79",1262670523,1,2,5,4,4,16,9,9,8,9,3,38,0,27,4,1,3,3,3,3,3,3,5,3,3,3,4,2,2,4,28,1,1,1,1,1,1,1,5,5,1,1,1,4,1,1,1,1,2,4,2,4,3,2,3,3,3,0,2,31,2
"81",1264552964,4,3,3,2,2,14,7,6,5,6,6,30,1,25,4,4,4,3,3,3,3,3,2,3,3,3,8,3,3,6,51,4,4,3,3,2,2,2,2,2,3,3,4,3,3,3,4,4,2,2,2,1,2,2,2,3,3,1,1,43,3
"82",1265607857,1,1,4,1,1,8,1,9,1,1,1,13,0,39,5,2,5,1,5,1,5,1,4,5,5,5,2,1,4,5,25,2,1,1,1,2,1,1,2,2,4,1,1,1,1,1,2,1,2,1,1,4,2,1,1,1,1,3,2,55,5
"84",1270740974,1,4,4,2,5,16,11,11,11,11,11,55,0,40,5,1,5,1,5,1,5,1,5,5,5,5,5,4,4,8,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,2,1,1,1,1,1,1,47,4
"85",1272665373,1,5,5,5,5,21,6,6,6,6,6,30,0,24,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,6,41,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,2,3,3,3,3,3,1,29,2
"87",1275366413,1,1,1,1,1,5,8,8,9,6,6,37,1,34,3,2,5,1,5,2,5,3,4,5,4,3,4,2,2,4,24,1,1,2,2,2,1,1,3,2,2,1,1,1,1,1,1,1,2,1,1,2,2,3,1,1,1,4,2,39,3
"88",1277560487,5,4,3,2,3,17,11,11,11,11,11,55,1,23,3,2,3,3,2,5,2,1,4,3,1,5,8,2,3,5,60,3,2,4,5,3,2,5,4,5,4,5,3,4,2,2,3,4,2,2,3,2,2,3,3,4,4,2,2,28,2
"89",1277639742,4,3,1,1,3,12,8,8,3,3,5,27,1,31,3,1,5,1,5,4,3,3,5,5,2,3,6,5,4,9,61,4,5,3,3,5,2,5,5,2,5,1,4,1,4,5,3,4,1,1,1,4,2,3,1,1,3,4,2,45,4
"91",1279091711,2,3,2,2,3,12,5,8,3,6,5,27,1,29,3,3,4,2,4,2,4,3,3,4,4,3,7,3,4,7,55,3,2,4,4,4,3,4,3,3,4,2,4,4,1,4,4,2,2,2,2,4,2,3,2,2,2,1,1,33,2
"92",1282295584,3,3,3,3,4,16,6,5,5,5,11,32,1,17,2,4,2,4,2,4,3,4,2,2,2,2,5,2,2,4,53,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,2,3,3,4,3,4,4,4,3,0,4,40,3
"93",1282617959,1,1,1,1,1,5,5,5,6,8,8,32,1,24,5,4,1,1,1,4,5,3,2,5,2,3,5,3,4,7,28,2,1,1,1,4,1,1,1,1,1,2,4,1,1,1,4,1,2,2,1,4,2,1,5,5,1,2,2,23,1
"95",1284595031,1,1,1,1,1,5,7,7,6,8,9,37,1,21,1,3,3,2,3,1,1,5,3,4,5,1,8,5,5,10,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,5,3,3,5,1,1,80,6
"97",1286666562,4,4,3,4,4,19,5,4,4,5,3,21,0,30,3,2,3,1,3,3,4,1,4,5,3,5,3,5,5,10,64,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,3,4,2,4,2,4,3,3,3,3,2,0,1,32,2
"99",1290116465,2,3,2,2,2,11,7,7,6,5,6,31,1,27,3,3,3,2,4,3,4,3,3,4,3,3,7,4,3,7,27,2,2,2,2,2,1,1,2,3,2,1,1,1,1,1,2,1,2,1,2,2,2,3,3,2,2,3,2,48,4
"100",1290189788,3,3,3,3,3,15,6,9,10,6,7,38,1,32,3,2,4,1,4,2,3,1,4,5,4,5,2,2,2,4,39,1,2,2,4,4,1,4,4,4,3,1,1,1,1,1,3,2,2,1,2,4,3,3,2,2,3,1,2,22,1
"101",1292718110,4,4,3,4,4,19,6,5,7,4,5,27,1,25,1,1,3,3,3,3,3,2,5,3,3,4,7,4,4,8,71,5,4,3,4,4,5,5,5,5,3,4,5,4,4,4,3,4,2,2,2,3,3,5,3,3,3,0,2,27,2
"102",1294217322,3,3,3,2,4,15,6,6,6,5,7,30,0,25,5,5,2,3,3,1,5,5,1,3,5,1,5,4,4,8,67,4,3,4,3,3,5,4,4,4,5,5,4,4,4,3,4,4,2,4,2,4,3,1,4,3,1,0,1,36,3
"103",1295068647,2,3,1,1,2,9,7,9,4,2,5,27,1,26,3,3,3,2,3,3,3,2,3,4,3,4,3,2,3,5,31,5,1,2,1,3,2,2,1,1,1,1,3,1,1,2,3,1,2,2,1,2,2,3,3,3,3,3,1,48,4
"105",1296353793,1,1,1,1,1,5,1,8,2,1,1,13,1,29,4,4,4,2,4,3,4,2,2,4,3,4,7,5,2,7,40,2,2,2,4,4,3,2,2,3,2,2,1,2,2,1,2,4,1,1,1,4,3,2,2,2,2,3,1,57,5
"106",1297602421,1,4,5,1,4,15,11,11,11,11,11,55,0,28,3,1,2,2,5,5,3,1,5,4,1,5,5,3,4,7,48,1,3,3,5,2,1,4,3,4,4,3,2,5,1,4,1,2,2,2,4,4,3,3,4,1,3,0,2,44,3
"107",1297703325,3,3,3,3,3,15,9,9,9,8,7,42,1,23,3,3,2,3,3,3,3,3,3,3,3,3,5,3,3,6,51,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,4,3,3,1,2,39,3
"108",1298764760,3,4,3,3,4,17,6,9,6,6,6,33,1,23,3,4,3,2,2,3,3,3,2,4,3,3,5,4,4,8,49,4,1,1,2,3,3,2,5,3,3,4,3,3,3,2,5,2,2,4,2,4,2,3,3,4,3,1,2,44,3
"110",1304328922,1,1,1,1,5,9,11,11,11,11,11,55,1,24,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,6,41,2,2,2,2,2,2,2,5,4,2,3,2,2,2,2,2,3,2,2,2,4,3,3,3,3,3,0,2,60,5
"112",1307065948,1,1,3,1,5,11,6,11,6,1,1,25,0,40,5,1,5,1,5,1,5,1,5,5,5,5,5,3,3,6,43,1,4,4,3,1,3,3,3,3,4,1,1,1,1,5,3,2,1,1,1,4,2,1,1,1,1,4,1,47,4
"113",1309955226,3,3,3,3,3,15,1,6,7,1,6,21,1,24,3,3,3,3,3,3,3,3,3,3,3,3,6,3,5,8,51,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,4,3,3,3,3,3,0,2,33,2
"114",1310678898,2,4,5,2,4,17,10,9,8,9,8,44,1,29,4,2,4,2,4,3,3,3,4,4,3,3,1,3,3,6,57,3,3,2,3,3,4,3,4,4,4,4,3,4,2,3,4,4,2,2,2,4,2,2,2,2,3,1,1,27,2
"115",1311077750,3,3,4,2,3,15,6,11,9,4,6,36,1,24,3,3,4,5,3,3,3,2,3,1,3,4,4,1,1,2,50,3,3,3,3,3,3,2,2,3,4,4,3,2,3,4,2,3,2,1,4,4,3,3,2,3,3,1,1,71,6
"117",1311631073,5,4,5,2,4,20,11,11,10,9,8,49,0,23,2,4,3,1,3,4,2,2,2,5,2,4,4,4,4,8,67,4,5,2,5,5,5,5,2,5,5,4,4,5,1,4,1,5,2,2,2,4,3,4,3,3,4,0,2,42,3
"118",1312850811,3,2,3,2,3,13,6,6,6,6,6,30,0,25,3,4,3,2,3,3,3,2,2,4,3,4,4,3,4,7,44,2,2,3,3,3,2,3,3,3,2,2,2,2,3,4,3,2,2,1,1,2,2,3,3,3,3,4,1,41,3
"119",1315057253,1,1,3,1,3,9,8,9,7,7,9,40,1,24,1,5,5,1,1,3,3,1,1,5,3,5,10,4,3,7,34,1,1,1,5,3,1,1,1,5,1,3,1,1,1,3,2,3,2,1,1,2,2,5,1,5,3,4,1,75,6
"120",1316242757,3,1,1,1,1,7,9,8,7,6,4,34,1,26,3,3,3,1,3,3,3,3,3,5,3,3,4,3,3,6,19,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,3,3,3,3,4,2,58,5
"121",1318027238,1,1,1,1,2,6,10,8,6,6,7,37,0,38,5,1,4,1,5,1,5,2,5,5,5,4,6,3,4,7,22,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,2,2,1,1,4,3,1,2,1,1,2,1,64,5
"122",1318069468,2,3,3,2,3,13,6,6,6,6,6,30,1,24,3,3,3,3,3,3,3,3,3,3,3,3,7,3,3,6,51,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,4,3,3,3,3,3,1,1,62,5
"123",1318073441,3,4,2,3,3,15,9,6,6,7,6,34,1,19,2,3,3,4,2,4,3,4,3,2,2,2,3,4,4,8,53,3,2,3,4,4,4,2,3,4,2,3,3,4,4,3,2,3,2,4,3,4,1,4,3,4,3,0,1,48,4
"124",1318169604,1,1,1,1,3,7,9,9,8,8,6,40,1,26,3,2,3,3,3,2,3,3,4,3,4,3,5,3,4,7,46,1,1,1,3,5,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,2,1,45,4
"125",1319604040,1,1,4,4,4,14,11,11,11,6,7,46,0,36,5,1,5,1,5,5,5,1,5,5,1,5,4,2,2,4,50,1,1,4,4,5,1,3,5,4,4,2,2,4,1,3,3,3,1,1,1,2,2,1,1,1,1,5,1,28,2
"126",1319620843,1,1,1,1,1,5,11,9,2,6,7,35,1,27,1,2,3,1,2,1,3,2,4,5,5,4,7,5,5,10,19,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,5,3,4,3,5,2,51,4
"127",1320464889,3,2,3,3,3,14,6,5,8,9,6,34,1,25,2,2,2,1,2,3,4,3,4,5,3,3,8,3,5,8,50,3,2,3,3,4,3,3,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,4,4,4,2,2,2,34,2
"128",1321185585,3,4,4,5,4,20,6,7,9,8,8,38,1,26,3,4,5,3,4,4,4,3,2,3,2,3,9,4,4,8,55,2,2,2,3,2,3,5,5,5,4,3,3,4,3,3,3,3,1,2,1,4,2,3,1,2,2,3,2,33,2
"129",1322627060,1,1,1,1,2,6,10,8,7,6,7,38,1,24,2,4,3,1,3,4,4,3,2,5,2,3,3,1,2,3,33,2,1,1,1,4,1,3,1,3,4,2,1,2,1,1,3,2,2,2,2,4,2,4,3,3,2,1,2,58,5
"130",1323497121,2,2,3,1,2,10,2,3,2,1,1,9,0,38,5,3,5,1,5,1,5,1,3,5,5,5,5,3,3,6,33,1,1,1,1,1,1,1,4,1,1,3,3,1,4,2,4,3,3,2,1,2,2,1,1,1,1,3,1,58,5
"134",1326548582,1,2,2,1,2,8,9,9,11,5,10,44,0,29,3,2,5,1,3,2,3,4,4,5,4,2,4,3,1,4,34,3,3,4,4,3,1,1,3,1,1,1,2,3,1,1,1,1,2,4,3,4,2,3,1,3,3,1,2,35,3
